image_id,healthy,multiple_diseases,rust,scab
Train_710,1,0,0,0
Train_1323,0,0,0,1
Train_979,1,0,0,0
Train_118,0,0,1,0
Train_1144,0,0,1,0
Train_1763,0,0,1,0
Train_522,0,0,1,0
Train_513,0,0,1,0
Train_81,0,0,1,0
Train_613,0,0,1,0
Train_855,0,0,1,0
Train_380,1,0,0,0
Train_1544,0,0,0,1
Train_84,0,0,0,1
Train_1545,0,0,1,0
Train_329,1,0,0,0
Train_938,0,0,1,0
Train_629,0,1,0,0
Train_1450,0,0,0,1
Train_774,1,0,0,0
Train_1428,0,0,1,0
Train_451,0,0,1,0
Train_490,0,0,0,1
Train_1348,1,0,0,0
Train_287,1,0,0,0
Train_771,0,0,0,1
Train_1806,0,0,0,1
Train_1244,0,0,1,0
Train_643,0,0,1,0
Train_596,0,0,1,0
Train_1315,0,0,0,1
Train_743,0,0,1,0
Train_1681,1,0,0,0
Train_1137,0,0,0,1
Train_1509,0,0,1,0
Train_327,0,0,1,0
Train_1359,0,0,1,0
Train_820,0,0,0,1
Train_1669,1,0,0,0
Train_780,0,0,0,1
Train_1650,0,0,0,1
Train_177,0,0,0,1
Train_1537,0,0,0,1
Train_817,1,0,0,0
Train_86,1,0,0,0
Train_1280,0,1,0,0
Train_1726,0,0,1,0
Train_457,0,0,0,1
Train_54,1,0,0,0
Train_1368,1,0,0,0
Train_221,1,0,0,0
Train_113,0,1,0,0
Train_1258,0,0,0,1
Train_1125,0,0,1,0
Train_1761,0,0,0,1
Train_174,1,0,0,0
Train_941,0,0,0,1
Train_589,0,0,0,1
Train_1423,0,0,1,0
Train_18,1,0,0,0
Train_423,0,0,0,1
Train_1221,0,0,0,1
Train_285,0,0,1,0
Train_1447,1,0,0,0
Train_428,0,1,0,0
Train_1376,0,0,1,0
Train_1614,1,0,0,0
Train_31,0,0,1,0
Train_792,0,0,0,1
Train_836,0,0,1,0
Train_214,0,0,0,1
Train_1745,0,0,1,0
Train_326,0,0,0,1
Train_560,0,0,1,0
Train_1013,0,1,0,0
Train_631,0,0,0,1
Train_1090,0,0,0,1
Train_341,0,0,1,0
Train_147,0,0,0,1
Train_360,1,0,0,0
Train_83,0,0,0,1
Train_48,0,0,0,1
Train_468,0,0,1,0
Train_155,0,0,0,1
Train_1100,0,0,0,1
Train_1718,0,0,1,0
Train_1102,0,0,1,0
Train_1489,1,0,0,0
Train_500,0,0,1,0
Train_179,1,0,0,0
Train_1118,0,0,1,0
Train_1022,0,0,1,0
Train_741,0,0,1,0
Train_1480,0,0,1,0
Train_528,0,0,0,1
Train_346,0,0,1,0
Train_1262,0,0,1,0
Train_1781,1,0,0,0
Train_1419,0,0,0,1
Train_1366,1,0,0,0
Train_849,1,0,0,0
Train_601,1,0,0,0
Train_1193,1,0,0,0
Train_243,0,0,0,1
Train_754,0,1,0,0
Train_1344,0,0,1,0
Train_312,0,0,0,1
Train_435,0,0,1,0
Train_1725,0,0,1,0
Train_787,0,0,0,1
Train_308,0,0,0,1
Train_430,1,0,0,0
Train_370,0,0,0,1
Train_566,1,0,0,0
Train_862,0,0,0,1
Train_181,0,0,1,0
Train_1222,0,0,1,0
Train_621,1,0,0,0
Train_692,0,0,0,1
Train_1360,0,0,0,1
Train_1759,0,0,0,1
Train_1676,1,0,0,0
Train_296,0,0,0,1
Train_1210,1,0,0,0
Train_461,0,0,1,0
Train_1187,0,0,1,0
Train_1000,0,0,1,0
Train_377,0,0,0,1
Train_1814,1,0,0,0
Train_105,1,0,0,0
Train_126,0,0,1,0
Train_1037,0,0,1,0
Train_707,0,0,1,0
Train_355,0,0,0,1
Train_1477,1,0,0,0
Train_682,0,1,0,0
Train_1772,0,0,1,0
Train_736,0,0,0,1
Train_209,0,0,0,1
Train_1639,0,0,0,1
Train_140,0,0,0,1
Train_1307,0,0,1,0
Train_1217,0,0,0,1
Train_1483,0,0,0,1
Train_1592,0,0,1,0
Train_985,0,0,1,0
Train_755,1,0,0,0
Train_1204,0,0,1,0
Train_1429,0,0,0,1
Train_1284,0,0,1,0
Train_10,0,0,1,0
Train_1550,0,0,0,1
Train_1030,0,0,1,0
Train_282,1,0,0,0
Train_291,1,0,0,0
Train_626,1,0,0,0
Train_1603,0,0,1,0
Train_1269,0,0,0,1
Train_129,0,0,1,0
Train_1079,1,0,0,0
Train_323,0,0,1,0
Train_974,0,0,0,1
Train_712,0,0,1,0
Train_810,0,0,0,1
Train_1698,1,0,0,0
Train_730,1,0,0,0
Train_1220,0,0,1,0
Train_1417,1,0,0,0
Train_946,0,0,0,1
Train_900,0,0,1,0
Train_158,0,0,0,1
Train_1432,1,0,0,0
Train_634,0,0,1,0
Train_516,0,0,1,0
Train_1299,0,0,1,0
Train_597,1,0,0,0
Train_195,1,0,0,0
Train_1502,0,0,1,0
Train_1223,1,0,0,0
Train_410,0,0,1,0
Train_96,0,0,1,0
Train_841,0,0,1,0
Train_1216,0,1,0,0
Train_156,0,0,1,0
Train_419,0,0,0,1
Train_917,0,0,0,1
Train_477,0,0,0,1
Train_1460,0,0,0,1
Train_668,0,0,1,0
Train_1331,0,0,0,1
Train_925,0,0,1,0
Train_1185,0,0,1,0
Train_447,0,0,1,0
Train_1654,1,0,0,0
Train_178,0,0,1,0
Train_390,0,0,1,0
Train_578,0,0,1,0
Train_1620,0,0,0,1
Train_1562,1,0,0,0
Train_1501,0,0,0,1
Train_1503,0,0,0,1
Train_1023,0,0,1,0
Train_1237,1,0,0,0
Train_1401,0,0,0,1
Train_1527,0,0,1,0
Train_664,0,0,0,1
Train_142,0,0,0,1
Train_1383,0,0,0,1
Train_1463,1,0,0,0
Train_421,1,0,0,0
Train_636,0,0,0,1
Train_1278,0,0,0,1
Train_942,1,0,0,0
Train_615,0,0,1,0
Train_294,0,0,1,0
Train_1157,0,0,0,1
Train_1729,0,0,1,0
Train_88,1,0,0,0
Train_41,0,0,0,1
Train_1642,0,0,1,0
Train_1757,0,0,1,0
Train_131,0,0,1,0
Train_1128,0,0,0,1
Train_1767,0,0,0,1
Train_1453,0,0,1,0
Train_1689,0,0,1,0
Train_997,0,0,0,1
Train_164,0,0,1,0
Train_724,0,0,1,0
Train_290,0,0,0,1
Train_1723,1,0,0,0
Train_1783,0,0,1,0
Train_778,0,0,1,0
Train_348,1,0,0,0
Train_571,0,0,1,0
Train_819,0,0,0,1
Train_1716,0,0,0,1
Train_1063,0,0,1,0
Train_1454,0,1,0,0
Train_1198,1,0,0,0
Train_861,0,0,0,1
Train_458,0,0,1,0
Train_375,1,0,0,0
Train_333,0,0,1,0
Train_1208,0,0,0,1
Train_1605,1,0,0,0
Train_1523,0,0,0,1
Train_1041,0,0,1,0
Train_844,0,0,0,1
Train_1691,1,0,0,0
Train_818,0,0,0,1
Train_1753,0,0,1,0
Train_1197,0,1,0,0
Train_328,0,0,1,0
Train_889,0,0,1,0
Train_318,0,0,1,0
Train_1504,1,0,0,0
Train_1235,0,0,1,0
Train_1583,1,0,0,0
Train_167,1,0,0,0
Train_12,0,0,0,1
Train_171,0,0,1,0
Train_649,0,0,0,1
Train_260,0,0,0,1
Train_1112,0,0,1,0
Train_1281,0,0,0,1
Train_672,0,0,1,0
Train_258,0,0,0,1
Train_1815,0,1,0,0
Train_138,0,0,0,1
Train_1674,0,0,1,0
Train_549,0,0,1,0
Train_1242,0,0,0,1
Train_1393,0,0,0,1
Train_1132,0,0,0,1
Train_1170,0,0,0,1
Train_558,1,0,0,0
Train_139,0,0,1,0
Train_1738,0,0,1,0
Train_531,1,0,0,0
Train_224,1,0,0,0
Train_723,0,0,0,1
Train_786,1,0,0,0
Train_845,0,0,0,1
Train_409,0,0,0,1
Train_325,0,0,0,1
Train_988,0,0,0,1
Train_299,0,0,1,0
Train_1699,0,0,1,0
Train_1087,0,0,1,0
Train_963,1,0,0,0
Train_1692,0,0,0,1
Train_714,0,0,1,0
Train_193,0,0,1,0
Train_440,0,0,1,0
Train_573,1,0,0,0
Train_503,0,0,0,1
Train_605,1,0,0,0
Train_1068,0,0,1,0
Train_1629,0,0,1,0
Train_846,0,0,0,1
Train_3,0,0,1,0
Train_1055,1,0,0,0
Train_1121,0,0,1,0
Train_467,0,0,1,0
Train_321,0,0,1,0
Train_5,1,0,0,0
Train_222,0,0,0,1
Train_547,1,0,0,0
Train_228,0,0,1,0
Train_39,0,0,1,0
Train_542,0,0,1,0
Train_242,0,0,0,1
Train_1289,1,0,0,0
Train_136,1,0,0,0
Train_1259,0,0,0,1
Train_1601,1,0,0,0
Train_1436,0,0,0,1
Train_869,0,0,0,1
Train_829,0,0,1,0
Train_445,0,0,1,0
Train_842,0,0,0,1
Train_1649,0,0,1,0
Train_1290,0,0,1,0
Train_1442,1,0,0,0
Train_1663,1,0,0,0
Train_581,0,0,0,1
Train_1609,0,1,0,0
Train_1790,0,0,1,0
Train_661,0,0,0,1
Train_436,0,1,0,0
Train_1690,0,0,0,1
Train_376,1,0,0,0
Train_1345,0,0,0,1
Train_1320,0,0,1,0
Train_314,0,0,1,0
Train_442,0,0,0,1
Train_1627,0,0,0,1
Train_319,0,0,0,1
Train_281,0,0,0,1
Train_1578,0,0,1,0
Train_1091,1,0,0,0
Train_1370,0,0,1,0
Train_424,0,0,0,1
Train_553,0,0,1,0
Train_594,0,0,1,0
Train_1784,0,1,0,0
Train_368,0,0,1,0
Train_1636,0,0,0,1
Train_936,0,1,0,0
Train_1074,0,0,0,1
Train_1475,0,0,1,0
Train_901,1,0,0,0
Train_227,1,0,0,0
Train_1165,0,0,1,0
Train_1587,1,0,0,0
Train_1209,0,0,0,1
Train_987,0,0,1,0
Train_66,1,0,0,0
Train_393,1,0,0,0
Train_579,1,0,0,0
Train_24,1,0,0,0
Train_211,0,0,0,1
Train_1402,0,0,1,0
Train_144,1,0,0,0
Train_536,0,0,1,0
Train_811,1,0,0,0
Train_1026,0,0,0,1
Train_949,0,1,0,0
Train_85,0,0,0,1
Train_1643,0,0,0,1
Train_272,0,0,0,1
Train_1175,0,0,1,0
Train_1084,0,0,1,0
Train_948,1,0,0,0
Train_1645,0,0,0,1
Train_630,1,0,0,0
Train_1249,0,0,0,1
Train_1703,0,0,0,1
Train_939,1,0,0,0
Train_1580,0,0,0,1
Train_1050,0,1,0,0
Train_505,0,0,0,1
Train_273,1,0,0,0
Train_507,0,0,1,0
Train_1617,1,0,0,0
Train_362,0,0,0,1
Train_1472,0,0,1,0
Train_1058,1,0,0,0
Train_622,1,0,0,0
Train_2,1,0,0,0
Train_6,0,1,0,0
Train_1116,0,0,1,0
Train_311,1,0,0,0
Train_1232,0,0,0,1
Train_950,0,0,1,0
Train_665,1,0,0,0
Train_364,0,0,0,1
Train_1793,0,0,0,1
Train_215,1,0,0,0
Train_1561,0,0,1,0
Train_27,0,0,0,1
Train_1466,1,0,0,0
Train_525,1,0,0,0
Train_1671,0,0,1,0
Train_1018,0,1,0,0
Train_638,0,0,0,1
Train_302,0,0,1,0
Train_718,0,0,1,0
Train_691,1,0,0,0
Train_1644,0,0,1,0
Train_1809,0,0,0,1
Train_624,0,0,0,1
Train_7,0,0,0,1
Train_256,0,0,0,1
Train_803,0,0,0,1
Train_25,0,1,0,0
Train_336,0,1,0,0
Train_572,1,0,0,0
Train_47,0,0,1,0
Train_1347,1,0,0,0
Train_106,0,0,0,1
Train_349,0,0,0,1
Train_55,1,0,0,0
Train_238,1,0,0,0
Train_213,1,0,0,0
Train_120,0,0,1,0
Train_1146,1,0,0,0
Train_1813,0,0,1,0
Train_793,0,0,0,1
Train_72,1,0,0,0
Train_922,0,0,0,1
Train_812,1,0,0,0
Train_1575,1,0,0,0
Train_77,1,0,0,0
Train_944,0,0,1,0
Train_1029,0,0,1,0
Train_45,0,0,1,0
Train_1623,0,0,0,1
Train_523,0,0,1,0
Train_232,0,0,0,1
Train_644,1,0,0,0
Train_1338,0,0,0,1
Train_1374,0,0,1,0
Train_1181,0,0,0,1
Train_533,0,0,1,0
Train_1329,0,0,0,1
Train_1375,0,0,0,1
Train_603,1,0,0,0
Train_465,0,0,1,0
Train_1469,0,0,1,0
Train_788,1,0,0,0
Train_1547,0,0,1,0
Train_1080,1,0,0,0
Train_1188,0,0,0,1
Train_60,0,0,1,0
Train_1190,0,0,0,1
Train_1655,0,0,1,0
Train_92,0,0,1,0
Train_666,0,0,1,0
Train_1009,0,0,0,1
Train_1542,0,0,0,1
Train_194,0,0,1,0
Train_280,0,0,0,1
Train_695,0,0,1,0
Train_1518,0,0,0,1
Train_359,1,0,0,0
Train_1142,0,0,1,0
Train_519,0,0,1,0
Train_1318,0,0,1,0
Train_1106,0,0,1,0
Train_1764,0,0,1,0
Train_1073,0,0,1,0
Train_847,0,0,1,0
Train_182,0,0,0,1
Train_1317,0,0,0,1
Train_1253,0,0,1,0
Train_110,0,0,0,1
Train_42,0,0,0,1
Train_125,0,0,0,1
Train_204,0,0,0,1
Train_52,0,0,0,1
Train_545,1,0,0,0
Train_68,1,0,0,0
Train_1231,0,0,1,0
Train_1737,0,0,0,1
Train_183,0,0,1,0
Train_137,1,0,0,0
Train_899,0,0,0,1
Train_796,0,0,1,0
Train_132,0,0,1,0
Train_80,0,0,0,1
Train_1406,0,0,1,0
Train_541,0,0,1,0
Train_1457,1,0,0,0
Train_983,1,0,0,0
Train_165,0,0,1,0
Train_248,1,0,0,0
Train_446,1,0,0,0
Train_1054,1,0,0,0
Train_858,0,0,0,1
Train_1110,1,0,0,0
Train_97,0,0,1,0
Train_1794,1,0,0,0
Train_737,1,0,0,0
Train_1555,1,0,0,0
Train_102,0,0,1,0
Train_434,0,0,1,0
Train_74,0,1,0,0
Train_1634,1,0,0,0
Train_1101,1,0,0,0
Train_918,1,0,0,0
Train_1566,0,0,1,0
Train_1766,0,0,1,0
Train_1481,0,0,0,1
Train_762,0,1,0,0
Train_989,1,0,0,0
Train_388,0,0,0,1
Train_235,0,0,0,1
Train_267,0,0,0,1
Train_1105,0,0,1,0
Train_117,0,0,1,0
Train_1467,0,0,0,1
Train_673,0,0,0,1
Train_249,1,0,0,0
Train_1322,0,0,1,0
Train_94,1,0,0,0
Train_33,1,0,0,0
Train_1333,0,0,0,1
Train_1526,0,1,0,0
Train_448,1,0,0,0
Train_716,0,0,0,1
Train_1512,0,0,1,0
Train_1384,0,0,0,1
Train_0,0,0,0,1
Train_1251,1,0,0,0
Train_82,0,0,1,0
Train_1176,1,0,0,0
Train_676,1,0,0,0
Train_1532,0,0,0,1
Train_1046,0,1,0,0
Train_770,0,0,0,1
Train_1114,1,0,0,0
Train_1169,0,0,1,0
Train_1444,0,0,0,1
Train_1356,1,0,0,0
Train_404,1,0,0,0
Train_1626,0,0,1,0
Train_1427,0,0,1,0
Train_104,0,1,0,0
Train_688,0,0,0,1
Train_1189,0,0,1,0
Train_826,1,0,0,0
Train_62,0,1,0,0
Train_852,0,0,1,0
Train_1230,1,0,0,0
Train_223,0,0,1,0
Train_145,0,0,0,1
Train_1088,0,0,0,1
Train_373,1,0,0,0
Train_1593,1,0,0,0
Train_1665,0,0,1,0
Train_1361,0,0,0,1
Train_1571,0,0,1,0
Train_1160,1,0,0,0
Train_9,1,0,0,0
Train_449,0,0,0,1
Train_708,0,0,0,1
Train_255,0,0,0,1
Train_882,1,0,0,0
Train_389,1,0,0,0
Train_908,1,0,0,0
Train_924,1,0,0,0
Train_1559,1,0,0,0
Train_1350,0,0,0,1
Train_460,1,0,0,0
Train_1159,1,0,0,0
Train_958,1,0,0,0
Train_501,0,0,1,0
Train_739,0,0,1,0
Train_1800,0,0,0,1
Train_868,0,0,0,1
Train_731,1,0,0,0
Train_539,0,0,1,0
Train_697,0,0,1,0
Train_1768,0,0,0,1
Train_1252,0,0,0,1
Train_1031,1,0,0,0
Train_372,0,0,0,1
Train_667,0,0,1,0
Train_1392,1,0,0,0
Train_357,1,0,0,0
Train_967,0,0,0,1
Train_783,0,0,0,1
Train_735,0,0,1,0
Train_1035,0,1,0,0
Train_970,0,0,0,1
Train_1391,1,0,0,0
Train_1624,0,0,1,0
Train_1358,0,1,0,0
Train_1549,1,0,0,0
Train_1670,1,0,0,0
Train_885,1,0,0,0
Train_79,0,0,0,1
Train_814,0,0,1,0
Train_1173,0,1,0,0
Train_671,1,0,0,0
Train_1474,1,0,0,0
Train_57,0,0,1,0
Train_133,0,0,1,0
Train_1140,0,0,0,1
Train_933,0,0,0,1
Train_1540,0,0,1,0
Train_823,0,0,0,1
Train_504,0,0,1,0
Train_1619,0,0,0,1
Train_347,0,0,1,0
Train_386,0,0,1,0
Train_1024,0,0,0,1
Train_894,0,0,0,1
Train_828,0,0,1,0
Train_1720,0,0,1,0
Train_475,1,0,0,0
Train_1340,0,0,1,0
Train_1271,1,0,0,0
Train_652,0,0,1,0
Train_172,0,0,0,1
Train_1149,0,0,1,0
Train_38,0,0,1,0
Train_713,0,0,0,1
Train_90,1,0,0,0
Train_1760,1,0,0,0
Train_875,0,0,1,0
Train_1228,0,0,0,1
Train_1093,0,0,1,0
Train_1155,0,0,0,1
Train_1239,1,0,0,0
