image_id,healthy,multiple_diseases,rust,scab
Train_1779,0,1,0,0
Train_499,0,0,1,0
Train_338,0,1,0,0
Train_28,0,0,0,1
Train_1205,0,0,1,0
Train_1659,0,0,0,1
Train_945,0,0,1,0
Train_169,0,0,0,1
Train_1302,0,0,1,0
Train_912,0,0,1,0
Train_491,1,0,0,0
Train_953,1,0,0,0
Train_1097,1,0,0,0
Train_1032,0,0,0,1
Train_587,1,0,0,0
Train_750,0,0,1,0
Train_657,1,0,0,0
Train_234,0,0,0,1
Train_732,0,1,0,0
Train_1491,0,0,1,0
Train_1156,0,0,0,1
Train_1339,0,0,0,1
Train_1487,0,0,1,0
Train_934,1,0,0,0
Train_1065,0,0,0,1
Train_108,0,0,1,0
Train_1407,0,0,1,0
Train_568,0,0,0,1
Train_1167,0,0,0,1
Train_1174,0,0,0,1
Train_890,1,0,0,0
Train_947,1,0,0,0
Train_1048,0,0,1,0
Train_1229,0,0,1,0
Train_1247,1,0,0,0
Train_1316,0,0,1,0
Train_884,0,0,1,0
Train_1530,1,0,0,0
Train_850,1,0,0,0
Train_734,0,0,1,0
Train_717,0,0,0,1
Train_454,0,0,0,1
Train_264,1,0,0,0
Train_75,0,0,1,0
Train_444,1,0,0,0
Train_395,0,1,0,0
Train_176,0,0,0,1
Train_1042,0,0,0,1
Train_1586,0,0,0,1
Train_1274,0,0,0,1
Train_1255,0,0,1,0
Train_595,1,0,0,0
Train_61,0,0,0,1
Train_872,1,0,0,0
Train_1357,1,0,0,0
Train_1710,0,0,1,0
Train_278,1,0,0,0
Train_36,0,1,0,0
Train_1610,1,0,0,0
Train_662,0,0,0,1
Train_1646,1,0,0,0
Train_1314,0,0,1,0
Train_977,1,0,0,0
Train_1435,0,0,0,1
Train_738,0,0,1,0
Train_191,0,0,0,1
Train_919,1,0,0,0
Train_456,0,0,1,0
Train_675,1,0,0,0
Train_760,0,0,1,0
Train_1647,0,0,0,1
Train_728,0,0,1,0
Train_412,1,0,0,0
Train_1098,0,0,0,1
Train_825,0,0,1,0
Train_1625,0,0,1,0
Train_616,1,0,0,0
Train_114,0,0,1,0
Train_417,1,0,0,0
Train_1735,1,0,0,0
Train_969,1,0,0,0
Train_604,0,0,0,1
Train_1742,0,0,0,1
Train_89,0,0,1,0
Train_848,0,0,1,0
Train_1386,1,0,0,0
Train_1741,1,0,0,0
Train_753,1,0,0,0
Train_498,0,0,0,1
Train_11,0,0,0,1
Train_396,1,0,0,0
Train_284,0,0,1,0
Train_1066,1,0,0,0
Train_1191,0,0,1,0
Train_690,0,0,1,0
Train_1490,0,0,1,0
Train_1707,0,0,1,0
Train_689,0,0,1,0
Train_851,0,0,0,1
Train_159,0,0,1,0
Train_895,1,0,0,0
Train_1574,0,0,1,0
Train_257,1,0,0,0
Train_335,1,0,0,0
Train_1711,0,0,0,1
Train_1039,1,0,0,0
Train_515,0,0,1,0
Train_1015,0,0,0,1
Train_768,1,0,0,0
Train_1595,0,0,1,0
Train_761,1,0,0,0
Train_1246,0,0,0,1
Train_1203,0,0,0,1
Train_1787,0,0,0,1
Train_1804,0,0,0,1
Train_521,0,0,0,1
Train_22,0,0,0,1
Train_356,1,0,0,0
Train_1277,1,0,0,0
Train_1539,1,0,0,0
Train_340,0,0,1,0
Train_431,0,0,0,1
Train_473,0,0,0,1
Train_217,0,0,0,1
Train_911,0,0,1,0
Train_1227,1,0,0,0
Train_1458,0,0,1,0
Train_1011,0,0,1,0
Train_1771,0,0,1,0
Train_93,0,0,1,0
Train_1008,0,0,0,1
Train_1070,0,0,1,0
Train_1092,1,0,0,0
Train_1449,1,0,0,0
Train_1308,0,0,0,1
Train_696,0,0,0,1
Train_1635,1,0,0,0
Train_996,0,0,1,0
Train_153,0,0,0,1
Train_1099,0,0,0,1
Train_1573,0,1,0,0
Train_1818,1,0,0,0
Train_789,0,0,1,0
Train_580,0,0,1,0
Train_703,1,0,0,0
Train_1212,0,0,0,1
Train_1295,0,0,0,1
Train_1524,0,0,1,0
Train_1260,0,0,1,0
Train_487,0,0,1,0
Train_559,0,0,0,1
Train_1141,1,0,0,0
Train_1119,0,1,0,0
Train_801,1,0,0,0
Train_512,0,0,1,0
Train_633,0,0,1,0
Train_1420,1,0,0,0
Train_1630,0,0,1,0
Train_1150,0,0,1,0
Train_790,0,0,1,0
Train_116,0,0,0,1
Train_740,0,0,0,1
Train_1081,0,0,1,0
Train_830,0,0,1,0
Train_119,0,0,0,1
Train_656,0,0,1,0
Train_1732,0,0,1,0
Train_635,1,0,0,0
Train_369,0,0,1,0
Train_268,0,0,0,1
Train_655,0,0,0,1
Train_935,1,0,0,0
Train_822,0,0,1,0
Train_866,1,0,0,0
Train_46,1,0,0,0
Train_1563,1,0,0,0
Train_991,0,0,0,1
Train_876,0,0,1,0
Train_773,1,0,0,0
Train_1219,0,0,1,0
Train_1820,0,0,0,1
Train_4,1,0,0,0
Train_1003,0,0,0,1
Train_1576,0,0,1,0
Train_263,1,0,0,0
Train_1433,0,1,0,0
Train_1668,0,0,1,0
Train_443,1,0,0,0
Train_1002,1,0,0,0
Train_1077,0,0,0,1
Train_837,0,0,1,0
Train_1633,1,0,0,0
Train_304,1,0,0,0
Train_1365,0,0,1,0
Train_1421,0,0,0,1
Train_313,0,0,1,0
Train_149,0,0,0,1
Train_1148,0,0,1,0
Train_1213,0,0,1,0
Train_574,0,0,1,0
Train_50,0,0,1,0
Train_1416,0,0,0,1
Train_726,0,0,1,0
Train_833,1,0,0,0
Train_1377,1,0,0,0
Train_1115,1,0,0,0
Train_1166,0,0,0,1
Train_470,0,0,0,1
Train_971,0,0,1,0
Train_653,0,0,0,1
Train_399,0,1,0,0
Train_511,0,0,1,0
Train_320,1,0,0,0
Train_19,0,0,0,1
Train_684,1,0,0,0
Train_35,0,0,1,0
Train_902,0,0,0,1
Train_827,0,0,1,0
Train_1812,0,0,0,1
Train_407,1,0,0,0
Train_920,0,0,1,0
Train_537,1,0,0,0
Train_758,0,0,0,1
Train_1062,0,0,0,1
Train_1199,1,0,0,0
Train_245,0,1,0,0
Train_1127,0,0,0,1
Train_784,0,0,1,0
Train_1591,0,0,1,0
Train_489,0,0,0,1
Train_154,0,0,0,1
Train_961,1,0,0,0
Train_853,0,0,1,0
Train_1311,0,0,1,0
Train_625,0,0,0,1
Train_685,1,0,0,0
Train_1425,0,0,1,0
Train_569,1,0,0,0
Train_1733,1,0,0,0
Train_17,0,0,0,1
Train_127,0,0,0,1
Train_1346,0,0,0,1
Train_1279,0,0,0,1
Train_1789,1,0,0,0
Train_927,0,0,0,1
Train_980,1,0,0,0
Train_1785,0,0,1,0
Train_190,0,0,0,1
Train_1139,1,0,0,0
Train_992,0,0,0,1
Train_1776,1,0,0,0
Train_1796,0,0,1,0
Train_606,0,0,1,0
Train_180,0,1,0,0
Train_301,0,0,1,0
Train_496,1,0,0,0
Train_1551,0,0,1,0
Train_1564,1,0,0,0
Train_1596,0,0,1,0
Train_1497,1,0,0,0
Train_517,0,1,0,0
Train_1805,0,0,1,0
Train_1069,0,0,1,0
Train_476,1,0,0,0
Train_157,0,0,1,0
Train_1243,0,0,0,1
Train_1195,1,0,0,0
Train_16,0,0,0,1
Train_1072,1,0,0,0
Train_1792,0,0,1,0
Train_546,1,0,0,0
Train_658,0,0,0,1
Train_1667,1,0,0,0
Train_1019,0,0,1,0
Train_1521,0,0,0,1
Train_959,1,0,0,0
Train_1713,0,0,0,1
Train_283,0,0,0,1
Train_797,0,0,0,1
Train_1486,0,0,1,0
Train_225,0,0,1,0
Train_26,0,0,1,0
Train_1615,1,0,0,0
Train_437,0,0,0,1
Train_1770,1,0,0,0
Train_1388,1,0,0,0
Train_229,0,0,0,1
Train_37,0,0,1,0
Train_749,0,0,1,0
Train_1045,0,0,0,1
Train_1398,0,0,1,0
Train_469,0,0,1,0
Train_1548,1,0,0,0
Train_1788,0,0,1,0
Train_687,0,0,1,0
Train_1679,0,0,1,0
Train_639,0,0,1,0
Train_1567,0,0,1,0
Train_1218,0,0,0,1
Train_1158,0,0,1,0
Train_1415,1,0,0,0
Train_1514,0,1,0,0
Train_1300,0,0,1,0
Train_1661,1,0,0,0
Train_800,1,0,0,0
Train_160,0,0,0,1
Train_956,1,0,0,0
Train_1186,1,0,0,0
Train_821,0,0,1,0
Train_1538,1,0,0,0
Train_877,1,0,0,0
Train_913,0,0,1,0
Train_152,0,0,0,1
Train_1673,0,0,0,1
Train_1621,1,0,0,0
Train_509,0,0,1,0
Train_1135,0,0,0,1
Train_1250,0,0,0,1
Train_1694,1,0,0,0
Train_103,1,0,0,0
Train_1445,0,0,0,1
Train_1443,0,0,1,0
Train_586,0,0,1,0
Train_1613,0,0,1,0
Train_1143,0,0,0,1
Train_53,1,0,0,0
Train_151,1,0,0,0
Train_403,0,0,1,0
Train_1765,0,0,0,1
Train_207,0,0,0,1
Train_1722,0,0,1,0
Train_1122,0,0,1,0
Train_1652,0,0,0,1
Train_8,0,0,0,1
Train_1014,1,0,0,0
Train_1637,0,0,0,1
Train_1060,0,0,1,0
Train_452,1,0,0,0
Train_253,0,0,0,1
Train_1327,0,0,1,0
Train_896,1,0,0,0
Train_1782,1,0,0,0
Train_880,1,0,0,0
Train_1717,0,0,0,1
Train_623,0,0,1,0
Train_345,0,0,1,0
Train_1558,0,1,0,0
Train_262,0,0,0,1
Train_1321,0,0,1,0
Train_1438,1,0,0,0
Train_150,0,0,0,1
Train_472,0,0,1,0
Train_640,0,0,1,0
Train_1803,1,0,0,0
Train_1714,0,0,1,0
Train_550,1,0,0,0
Train_928,0,0,1,0
Train_488,1,0,0,0
Train_1651,0,0,1,0
Train_1171,1,0,0,0
Train_146,1,0,0,0
Train_1560,0,0,1,0
Train_1752,0,0,1,0
Train_402,0,0,1,0
Train_954,0,0,0,1
Train_1709,0,0,1,0
Train_659,0,0,0,1
Train_1372,1,0,0,0
Train_463,0,0,0,1
Train_1349,1,0,0,0
Train_186,0,0,0,1
Train_1147,0,0,1,0
Train_1224,1,0,0,0
Train_608,0,0,1,0
Train_143,0,0,0,1
Train_751,0,0,0,1
Train_1534,0,0,0,1
Train_981,1,0,0,0
Train_197,0,0,0,1
Train_883,0,0,0,1
Train_279,0,0,1,0
Train_293,0,0,0,1
Train_1662,0,1,0,0
Train_400,0,0,0,1
Train_122,0,1,0,0
Train_1207,0,0,1,0
Train_202,0,0,1,0
Train_1462,0,0,1,0
Train_835,1,0,0,0
Train_246,1,0,0,0
Train_1439,0,0,1,0
Train_1728,0,0,0,1
Train_1712,0,0,1,0
Train_1153,1,0,0,0
Train_1426,1,0,0,0
Train_384,0,0,1,0
Train_1604,1,0,0,0
Train_854,0,0,0,1
Train_219,1,0,0,0
Train_641,0,0,0,1
Train_1,0,1,0,0
Train_112,0,0,0,1
Train_698,0,0,0,1
Train_1739,0,0,0,1
Train_951,1,0,0,0
Train_1631,1,0,0,0
Train_1410,0,0,0,1
Train_1409,0,0,1,0
Train_1533,1,0,0,0
Train_1291,0,0,1,0
Train_1648,0,1,0,0
Train_441,0,0,1,0
Train_1520,0,0,0,1
Train_1136,0,0,0,1
Train_1256,0,0,1,0
Train_1697,1,0,0,0
Train_1397,1,0,0,0
Train_663,0,0,0,1
Train_1672,1,0,0,0
Train_1257,1,0,0,0
Train_1618,0,1,0,0
Train_317,1,0,0,0
Train_648,1,0,0,0
Train_1434,0,0,1,0
Train_1479,1,0,0,0
Train_709,0,0,0,1
Train_1382,0,0,0,1
Train_1282,1,0,0,0
Train_972,0,0,0,1
Train_627,0,0,1,0
Train_632,0,0,1,0
Train_1306,1,0,0,0
Train_1400,0,0,1,0
Train_1408,1,0,0,0
Train_1248,1,0,0,0
Train_1774,1,0,0,0
Train_1254,1,0,0,0
Train_1496,1,0,0,0
Train_1371,1,0,0,0
Train_1529,0,0,0,1
Train_1354,1,0,0,0
Train_1749,0,0,1,0
Train_1727,0,0,0,1
Train_1684,0,0,1,0
Train_795,0,0,0,1
Train_645,0,1,0,0
Train_1012,1,0,0,0
Train_1675,1,0,0,0
Train_556,0,0,0,1
Train_681,0,0,0,1
Train_577,0,0,1,0
Train_1109,0,0,0,1
Train_1266,0,0,1,0
Train_1183,0,0,0,1
Train_524,0,0,0,1
Train_1059,0,0,0,1
Train_540,0,0,0,1
Train_1194,0,0,1,0
Train_748,0,0,0,1
Train_1802,0,0,1,0
Train_1430,0,0,0,1
Train_484,0,1,0,0
Train_95,0,1,0,0
Train_1020,1,0,0,0
Train_563,0,1,0,0
Train_1264,0,1,0,0
Train_742,0,0,1,0
Train_863,1,0,0,0
Train_1598,1,0,0,0
Train_1484,0,0,0,1
Train_891,0,0,0,1
Train_1577,0,1,0,0
Train_1038,0,0,0,1
Train_206,0,0,1,0
Train_392,1,0,0,0
Train_794,1,0,0,0
Train_870,0,0,0,1
Train_397,1,0,0,0
Train_766,0,0,1,0
Train_1677,0,0,1,0
Train_1241,0,0,0,1
Train_1028,0,1,0,0
Train_642,1,0,0,0
Train_1719,0,0,0,1
Train_612,0,0,1,0
Train_960,1,0,0,0
Train_1570,0,0,0,1
Train_725,1,0,0,0
Train_683,0,0,1,0
Train_98,0,0,1,0
Train_804,0,0,1,0
Train_1597,1,0,0,0
Train_406,1,0,0,0
Train_502,1,0,0,0
Train_1071,0,0,1,0
Train_1056,0,0,0,1
Train_929,1,0,0,0
Train_779,0,0,1,0
Train_200,0,0,0,1
Train_134,1,0,0,0
Train_1051,0,0,1,0
Train_40,0,0,0,1
Train_1017,1,0,0,0
Train_230,0,0,0,1
Train_1513,1,0,0,0
Train_378,1,0,0,0
Train_288,0,0,1,0
Train_418,0,1,0,0
Train_391,0,1,0,0
Train_592,1,0,0,0
Train_1522,0,0,0,1
Train_1162,0,0,0,1
Train_1086,1,0,0,0
Train_1495,0,0,0,1
Train_647,0,0,1,0
Train_1152,0,0,0,1
Train_1367,0,0,0,1
Train_520,0,0,0,1
Train_64,0,0,1,0
Train_14,0,0,1,0
Train_1180,1,0,0,0
Train_1064,0,0,1,0
Train_492,0,0,1,0
Train_379,0,0,0,1
Train_187,0,0,1,0
Train_763,0,0,1,0
Train_216,0,0,0,1
Train_791,1,0,0,0
Train_1076,0,0,0,1
Train_878,0,0,0,1
Train_337,1,0,0,0
Train_719,0,0,1,0
Train_295,1,0,0,0
Train_1016,0,0,0,1
Train_1275,0,0,1,0
Train_1485,0,0,1,0
Train_455,0,0,1,0
Train_1817,1,0,0,0
Train_815,1,0,0,0
Train_269,0,0,1,0
Train_995,0,0,1,0
Train_201,1,0,0,0
Train_161,0,0,0,1
Train_1579,0,0,1,0
Train_729,0,0,0,1
Train_401,0,0,0,1
Train_702,0,1,0,0
Train_1500,0,0,0,1
Train_1129,0,1,0,0
Train_565,0,0,0,1
Train_1413,0,0,1,0
Train_1021,0,0,1,0
Train_1025,0,0,0,1
Train_1411,0,0,0,1
Train_1585,1,0,0,0
Train_1104,0,0,0,1
Train_205,0,0,1,0
Train_34,0,0,1,0
Train_775,0,0,0,1
Train_508,0,0,1,0
Train_1451,0,0,1,0
Train_1478,1,0,0,0
Train_1791,0,0,1,0
Train_1390,0,1,0,0
Train_91,0,0,0,1
Train_1363,0,0,0,1
Train_897,1,0,0,0
Train_564,0,0,1,0
Train_1369,0,1,0,0
Train_776,1,0,0,0
Train_241,0,0,1,0
Train_13,1,0,0,0
Train_315,0,0,0,1
Train_600,0,0,0,1
Train_387,0,0,1,0
Train_1297,1,0,0,0
Train_166,0,0,0,1
Train_840,0,0,1,0
Train_20,0,0,0,1
Train_646,1,0,0,0
Train_1508,1,0,0,0
Train_1154,0,0,1,0
Train_1528,1,0,0,0
Train_831,0,0,0,1
Train_1267,0,0,1,0
Train_1590,1,0,0,0
Train_562,1,0,0,0
Train_1773,0,0,1,0
Train_686,0,0,0,1
Train_957,0,0,1,0
Train_189,0,0,0,1
Train_975,0,0,1,0
Train_699,0,0,0,1
Train_1499,0,0,1,0
Train_1705,0,0,0,1
Train_510,0,0,1,0
Train_1082,1,0,0,0
Train_474,1,0,0,0
Train_1584,0,0,1,0
Train_856,0,0,0,1
Train_747,1,0,0,0
Train_252,0,0,0,1
Train_21,0,0,1,0
Train_1337,0,0,0,1
Train_459,0,0,0,1
Train_1184,0,0,1,0
Train_276,0,0,0,1
Train_955,0,0,0,1
Train_1215,0,0,1,0
Train_385,0,0,1,0
Train_805,1,0,0,0
Train_1437,0,0,1,0
Train_1515,0,0,1,0
Train_343,0,0,0,1
Train_769,1,0,0,0
Train_1332,0,0,1,0
Train_1685,0,0,0,1
Train_130,0,0,0,1
Train_1687,1,0,0,0
Train_871,0,0,0,1
Train_1123,1,0,0,0
Train_1396,1,0,0,0
Train_87,0,0,1,0
Train_1482,1,0,0,0
Train_330,1,0,0,0
Train_1238,0,0,0,1
Train_466,1,0,0,0
Train_121,0,0,1,0
Train_1638,0,0,0,1
Train_1044,1,0,0,0
Train_1724,1,0,0,0
Train_1095,0,0,0,1
Train_1130,0,0,0,1
Train_1294,0,0,0,1
Train_860,0,0,1,0
Train_1459,1,0,0,0
Train_1126,0,0,1,0
